基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,0.2938,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
018432,嘉实恒生医疗保健ETF发起联接(QDII)A,指数型-海外股票,0.9805,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
018433,嘉实恒生医疗保健ETF发起联接(QDII)C,指数型-海外股票,0.9791,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
018475,万家恒生互联网科技业ETF发起式联接(QDII)A,指数型-海外股票,0.7873,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
018476,万家恒生互联网科技业ETF发起式联接(QDII)C,指数型-海外股票,0.7907,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,指数型-海外股票,0.7640,09-10,限大额,开放赎回,,10.0,5000000.0,1.0,1,0.10%
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,0.7491,09-10,限大额,开放赎回,,10.0,5000000.0,0.0,1,0.00%
018543,汇添富黄金及贵金属(QDII-LOF-FOF)C,QDII-商品,1.6830,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
018577,摩根恒生科技ETF发起式联接(QDII)A,指数型-海外股票,0.9750,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
018578,摩根恒生科技ETF发起式联接(QDII)C,指数型-海外股票,0.9650,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
018738,博时标普500ETF联接E(人民币),指数型-海外股票,5.5617,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
018851,博时标普石油天然气勘探及生产精选行业指数发起(QDII)A人民币,指数型-海外股票,1.2259,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.10%
018852,博时标普石油天然气勘探及生产精选行业指数发起(QDII)A美元现汇,指数型-海外股票,0.1809,09-09,限大额,开放赎回,,100.0,0,0,,1.00%
018853,博时标普石油天然气勘探及生产精选行业指数发起(QDII)C人民币,指数型-海外股票,1.2068,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
018854,博时标普石油天然气勘探及生产精选行业指数发起(QDII)C美元现汇,指数型-海外股票,0.1781,09-09,限大额,开放赎回,,100.0,0,0,,0.00%
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,指数型-海外股票,1.6291,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,指数型-海外股票,1.6093,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,指数型-海外股票,1.7264,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,指数型-海外股票,1.7369,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.12%
019035,易方达全球医药行业混合发起式(QDII)C(人民币),QDII-混合偏股,1.1239,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
019036,易方达全球医药行业混合发起式(QDII)C(美元现汇),QDII-混合偏股,0.1658,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,1.3046,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,0.1925,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.15%
019102,景顺长城恒生消费ETF联接(QDII)A,指数型-海外股票,0.9132,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
019103,景顺长城恒生消费ETF联接(QDII)C,指数型-海外股票,0.9067,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,指数型-海外股票,2.8719,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,1.6606,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.15%
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,1.6355,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,0.2450,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,0.2413,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
019172,摩根纳斯达克100指数(QDII)人民币A,指数型-海外股票,1.7480,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
019173,摩根纳斯达克100指数(QDII)人民币C,指数型-海外股票,1.7318,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
019174,摩根纳斯达克100指数(QDII)美元现汇A,指数型-海外股票,1.8433,09-09,限大额,开放赎回,,1.0,0,0,,1.20%
019175,摩根纳斯达克100指数(QDII)美元现汇C,指数型-海外股票,1.8350,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
019230,广发全球稳健配置混合(QDII)人民币A,QDII-混合债,1.1436,09-09,限大额,开放赎回,,10.0,600000.0,1.0,1,0.15%
019231,广发全球稳健配置混合(QDII)人民币C,QDII-混合债,1.1307,09-09,限大额,开放赎回,,10.0,600000.0,0.0,1,0.00%
019232,广发全球稳健配置混合(QDII)美元A,QDII-混合债,0.1687,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
019233,广发全球稳健配置混合(QDII)美元C,QDII-混合债,0.1668,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
019265,南方港股数字经济混合发起(QDII)A,QDII-混合偏股,1.5117,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
019266,南方港股数字经济混合发起(QDII)C,QDII-混合偏股,1.4864,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
019305,摩根标普500指数(QDII)人民币C,指数型-海外股票,1.6813,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
019415,南方港股医药行业混合发起(QDII)A,QDII-混合偏股,1.3670,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
019416,南方港股医药行业混合发起(QDII)C,QDII-混合偏股,1.3176,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
019441,万家纳斯达克100指数发起式(QDII)A,指数型-海外股票,1.6784,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.10%
019442,万家纳斯达克100指数发起式(QDII)C,指数型-海外股票,1.6674,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,0.4013,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,0.4013,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
019449,摩根日本精选股票(QDII)C,QDII-普通股票,2.2214,09-10,限大额,开放赎回,,10.0,2000.0,0.0,1,0.00%
019450,摩根欧洲动力策略股票(QDII)C,QDII-普通股票,1.8102,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
019454,华泰柏瑞中韩半导体ETF发起式联接(QDII)A,指数型-海外股票,3.6476,09-10,限大额,开放赎回,,10.0,100.0,1.0,1,0.12%
019455,华泰柏瑞中韩半导体ETF发起式联接(QDII)C,指数型-海外股票,3.6211,09-10,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
019480,博时亚洲票息收益债券C人民币,QDII-纯债,1.4555,09-09,限大额,开放赎回,,10.0,2000.0,0.0,1,0.00%
019481,博时亚洲票息收益债券C美元现汇,QDII-纯债,0.2148,09-09,限大额,开放赎回,,10.0,0,0,,0.00%
019495,摩根富时发达市场REITs指数(QDII)人民币C,指数型-海外股票,1.4809,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
019512,摩根全球多元配置(QDII-FOF)人民币C,QDII-混合平衡,1.8720,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
019518,富国全球债券(QDII)人民币C,QDII-混合债,1.2461,09-09,限大额,开放赎回,,10.0,20000.0,0.0,1,0.00%
019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,指数型-海外股票,1.6443,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,指数型-海外股票,1.6304,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
019547,招商纳斯达克100ETF发起式联接(QDII)A,指数型-海外股票,1.5698,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
019548,招商纳斯达克100ETF发起式联接(QDII)C,指数型-海外股票,1.5526,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
019549,华夏全球股票美元现汇(QDII),QDII-普通股票,0.2032,09-09,限大额,开放赎回,,1.0,0,0,,1.60%
019550,华夏全球股票美元现钞(QDII),QDII-普通股票,0.2032,09-09,限大额,开放赎回,,1.0,0,0,,1.60%
019573,摩根中国生物医药混合(QDII)C,QDII-混合偏股,1.4837,09-09,开放申购,开放赎回,,10.0,9999999999,0.0,1,0.00%
019578,摩根全球天然资源混合(QDII)C,QDII-混合偏股,1.6652,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
019630,银华美元债精选债券(QDII)D,QDII-纯债,1.0832,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.08%
019641,摩根亚太优势混合(QDII)C,QDII-混合偏股,1.3237,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
019670,广发港股创新药ETF联接(QDII)A,指数型-海外股票,1.3332,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
019671,广发港股创新药ETF联接(QDII)C,指数型-海外股票,1.3218,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
019709,富国亚洲收益债券(QDII)人民币C,QDII-纯债,1.0451,09-09,限大额,开放赎回,,10.0,10000000,0.0,1,0.00%
019710,广发道琼斯石油指数(QDII-LOF)人民币E,指数型-海外股票,3.1313,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
019711,广发道琼斯石油指数(QDII-LOF)美元现汇E,指数型-海外股票,0.4621,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
019736,宝盈纳斯达克100指数发起(QDII)A人民币,指数型-海外股票,1.4864,09-09,限大额,开放赎回,,10.0,200.0,1.0,1,0.12%
019737,宝盈纳斯达克100指数发起(QDII)C人民币,指数型-海外股票,1.4760,09-09,限大额,开放赎回,,10.0,200.0,0.0,1,0.00%
019738,宝盈纳斯达克100指数发起(QDII)A美元现汇,指数型-海外股票,,,封闭期,封闭期,,1.0,0,0,,1.20%
019739,宝盈纳斯达克100指数发起(QDII)C美元现汇,指数型-海外股票,,,封闭期,封闭期,,1.0,0,0,,0.00%
019893,中银美元债债券(QDII)人民币C,QDII-纯债,1.1897,09-09,限大额,开放赎回,,10.0,300000.0,0.0,1,0.00%
019936,华安恒生互联网科技业ETF发起式联接(QDII)A,指数型-海外股票,1.0565,09-10,限大额,开放赎回,,10.0,5000000.0,1.0,1,0.05%
019937,华安恒生互联网科技业ETF发起式联接(QDII)C,指数型-海外股票,1.0509,09-10,限大额,开放赎回,,10.0,5000000.0,0.0,1,0.00%
020512,摩根海外稳健配置混合(QDII-FOF)人民币C,QDII-FOF,1.0487,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
020515,华泰柏瑞东南亚科技ETF发起式联接(QDII)A,指数型-海外股票,1.0602,09-09,限大额,开放赎回,,10.0,500.0,1.0,1,0.12%
020516,华泰柏瑞东南亚科技ETF发起式联接(QDII)C,指数型-海外股票,1.0509,09-09,限大额,开放赎回,,10.0,500.0,0.0,1,0.00%
020571,融通中国概念债券(QDII)C,QDII-混合债,1.1471,09-09,限大额,开放赎回,,10.0,1000000.0,0.0,1,0.00%
020621,华夏中证香港内地国有企业ETF发起式联接(QDII)A,指数型-海外股票,1.6055,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
020622,华夏中证香港内地国有企业ETF发起式联接(QDII)C,指数型-海外股票,1.5917,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
020634,汇添富恒生生物科技ETF发起式联接(QDII)A,指数型-海外股票,1.6149,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
020635,汇添富恒生生物科技ETF发起式联接(QDII)C,指数型-海外股票,1.6065,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
020712,华安三菱日联日经225ETF发起式联接(QDII)A,指数型-海外股票,1.4208,09-10,限大额,开放赎回,,10.0,10.0,1.0,1,0.06%
020713,华安三菱日联日经225ETF发起式联接(QDII)C,指数型-海外股票,1.4118,09-10,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
020743,广发恒生消费ETF发起式联接(QDII)A,指数型-海外股票,0.9176,09-10,开放申购,开放赎回,,10.0,99999999999,1.0,1,0.12%
020744,广发恒生消费ETF发起式联接(QDII)C,指数型-海外股票,0.9110,09-10,开放申购,开放赎回,,10.0,99999999999,0.0,1,0.00%
020957,中银全球策略(QDII-FOF)C,QDII-FOF,1.1126,09-09,限大额,开放赎回,,10.0,5000000.0,0.0,1,0.00%
020969,中信保诚全球商品(QDII)C,QDII-商品,0.9989,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
020988,南方恒生科技ETF发起联接(QDII)A,指数型-海外股票,1.0551,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
020989,南方恒生科技ETF发起联接(QDII)C,指数型-海外股票,1.0235,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
021000,南方纳斯达克100指数发起(QDII)I,指数型-海外股票,2.2840,09-09,限大额,开放赎回,,10.0,0,0,,0.00%
021044,国泰香港国企红利ETF联接(QDII)A,指数型-海外股票,1.4626,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
021045,国泰香港国企红利ETF联接(QDII)C,指数型-海外股票,1.4557,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
021053,南方恒生生物科技ETF发起联接(QDII)I,指数型-海外股票,1.2447,09-10,开放申购,开放赎回,,10.0,0,0,,0.00%
021189,南方亚太精选ETF联接(QDII)A,指数型-海外股票,1.5122,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.12%
021190,南方亚太精选ETF联接(QDII)C,指数型-海外股票,1.5053,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
021277,广发全球精选股票(QDII)人民币C,QDII-普通股票,6.3069,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
021539,华安法国CAC40ETF发起式联接(QDII)A,指数型-海外股票,1.0640,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.06%
021540,华安法国CAC40ETF发起式联接(QDII)C,指数型-海外股票,1.0582,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
021583,中欧中证港股通央企红利指数发起(QDII)A,指数型-海外股票,1.1812,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
021584,中欧中证港股通央企红利指数发起(QDII)C,指数型-海外股票,1.1692,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
021633,招商中证香港科技ETF发起式联接(QDII)A,指数型-海外股票,1.2337,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
021634,招商中证香港科技ETF发起式联接(QDII)C,指数型-海外股票,1.2261,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
021658,华安恒生生物科技指数发起式(QDII)A,指数型-海外股票,1.5148,09-10,限大额,开放赎回,,10.0,3000000.0,1.0,1,0.10%
021659,华安恒生生物科技指数发起式(QDII)C,指数型-海外股票,1.5082,09-10,限大额,开放赎回,,10.0,3000000.0,0.0,1,0.00%
021662,国富亚洲机会股票(QDII)C,QDII-普通股票,2.8866,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
021694,银华抗通胀主题(QDII-FOF-LOF)C,QDII-商品,1.1330,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,指数型-海外股票,1.6257,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
021778,广发纳指100ETF联接(QDII)人民币F,指数型-海外股票,8.1079,09-09,限大额,开放赎回,,500.0,0,0,,0.00%
021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,指数型-海外股票,2.1492,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
021842,国富全球科技互联混合(QDII)人民币C,QDII-混合偏股,6.9018,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
021843,国富全球科技互联混合(QDII)美元现汇C,QDII-混合偏股,6.9872,09-09,限大额,开放赎回,,0,0,0,,0.00%
022005,广发恒生科技ETF联接(QDII)F,指数型-海外股票,0.6991,09-10,开放申购,开放赎回,,1.0,0,0,,0.00%
022121,国泰海通中证香港科技指数发起(QDII)A,指数型-海外股票,0.9064,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
022122,国泰海通中证香港科技指数发起(QDII)C,指数型-海外股票,0.9030,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
022170,富国全球消费精选混合(QDII)人民币E,QDII-混合偏股,1.4757,09-09,开放申购,开放赎回,,1.0,0,0,,0.00%
022184,富国全球科技互联网股票(QDII)C,QDII-普通股票,5.1873,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
022325,长城中证港股通高股息指数发起(QDII)A,指数型-海外股票,1.1456,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
022326,长城中证港股通高股息指数发起(QDII)C,指数型-海外股票,1.1418,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
022374,富国亚洲收益债券(QDII)人民币E,QDII-纯债,1.0526,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
022503,富国全球债券(QDII)人民币E,QDII-混合债,1.2553,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
022512,南方亚洲美元收益债券(QDII)E(人民币),QDII-纯债,1.0026,09-09,限大额,开放赎回,,100.0,2000000.0,0.0,1,0.00%
022523,天弘标普500发起(QDII-FOF)D,QDII-FOF,2.2041,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
022524,天弘越南市场股票发起(QDII)D,QDII-普通股票,1.6027,09-09,限大额,开放赎回,,0.1,0,0,,0.00%
022525,天弘纳斯达克100指数发起(QDII)D,指数型-海外股票,2.0085,09-09,限大额,开放赎回,,0.1,0,0,,0.00%
022647,华安恒生科技ETF发起式联接(QDII)I,指数型-海外股票,1.0479,09-10,限大额,开放赎回,,10.0,10000000,0.0,1,0.00%
022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,指数型-海外股票,1.6421,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
022680,华泰柏瑞恒生科技ETF联接(QDII)I,指数型-海外股票,0.9804,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
022681,华泰柏瑞中韩半导体ETF发起式联接(QDII)I,指数型-海外股票,3.6417,09-10,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
023034,中欧恒生科技指数发起(QDII)A,指数型-海外股票,0.8607,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
023035,中欧恒生科技指数发起(QDII)C,指数型-海外股票,0.8573,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
023073,国泰海通中证港股通高股息投资指数发起(QDII)A,指数型-海外股票,1.2342,09-10,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.12%
023074,国泰海通中证港股通高股息投资指数发起(QDII)C,指数型-海外股票,1.2295,09-10,限大额,开放赎回,,10.0,1000000.0,0.0,1,0.00%
023242,中欧恒生消费指数发起(QDII)A,指数型-海外股票,0.8321,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
023243,中欧恒生消费指数发起(QDII)C,指数型-海外股票,0.8275,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
023373,建信富时100指数(QDII)D人民币,指数型-海外股票,1.4764,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
023402,广发全球精选股票(QDII)人民币F,QDII-普通股票,6.3507,09-09,限大额,开放赎回,,500.0,0,0,,0.00%
023422,建信纳斯达克100指数(QDII)D人民币,指数型-海外股票,3.3430,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
023559,招商普盛全球配置(QDII)人民币C,QDII-混合灵活,1.3412,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
023591,南方全球精选配置股票(QDII-FOF)C(人民币),QDII-普通股票,1.0062,09-09,限大额,开放赎回,,10.0,1000000.0,0.0,1,0.00%
023763,华夏恒生科技ETF发起式联接(QDII)D,指数型-海外股票,0.7095,09-10,限大额,开放赎回,,10.0,20000000,0.0,1,0.00%
023764,华夏恒生互联网科技业ETF发起式联接(QDII)D,指数型-海外股票,0.5517,09-10,限大额,开放赎回,,10.0,20000000,0.0,1,0.00%
023907,富国全球健康生活主题混合(QDII)人民币C,QDII-混合偏股,1.0540,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
024055,大成恒生医疗保健ETF发起式联接(QDII)A,指数型-海外股票,0.9183,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
024056,大成恒生医疗保健ETF发起式联接(QDII)C,指数型-海外股票,0.9161,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
024148,长城恒生科技指数(QDII)A,指数型-海外股票,0.7825,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
024149,长城恒生科技指数(QDII)C,指数型-海外股票,0.7802,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
024166,西部利得恒生科技指数(QDII)A,指数型-海外股票,0.7268,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
024167,西部利得恒生科技指数(QDII)C,指数型-海外股票,0.7247,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,指数型-海外股票,2.1087,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
024239,华夏全球科技先锋混合(QDII)C,QDII-混合偏股,2.6833,09-09,限大额,开放赎回,,10.0,5000.0,0.0,1,0.00%
024393,永赢恒生消费指数发起(QDII)A,指数型-海外股票,0.7998,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
024394,永赢恒生消费指数发起(QDII)C,指数型-海外股票,0.7967,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
024846,富国中国中小盘混合(QDII)人民币C,QDII-混合偏股,3.2041,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025070,东方红医疗创新混合(QDII)A,QDII-混合偏股,0.8703,09-10,开放申购,开放赎回,,10.0,100000000000,99.0,1,1.50%
025071,东方红医疗创新混合(QDII)C,QDII-混合偏股,0.8660,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025162,国泰大宗商品(QDII-LOF)D,QDII-商品,0.6630,09-09,限大额,开放赎回,,10.0,300000.0,1.0,1,0.15%
025174,长城港股医疗保健精选混合发起(QDII)A,QDII-混合偏股,0.7996,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
025175,长城港股医疗保健精选混合发起(QDII)C,QDII-混合偏股,0.7946,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025330,银华恒生国企指数(QDII-LOF)C,指数型-海外股票,0.7105,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025339,招商普盛全球配置(QDII)人民币D,QDII-混合灵活,1.3499,09-09,开放申购,开放赎回,,10.0,0,0,,1.20%
025403,工银新经济混合(QDII)人民币C,QDII-混合灵活,1.3621,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025587,光大阳光香港精选混合(QDII)A人民币,QDII-混合偏股,0.6119,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
025588,光大阳光香港精选混合(QDII)A美元现汇,QDII-混合偏股,0.0903,09-09,封闭期,开放赎回,,1.0,0,0,,1.20%
025589,光大阳光香港精选混合(QDII)C人民币,QDII-混合偏股,0.4386,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025654,富国医药精选混合(QDII)A,QDII-混合偏股,0.9960,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
025655,富国医药精选混合(QDII)C,QDII-混合偏股,0.9909,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
025787,大成港股恒信混合(QDII),QDII-混合偏股,0.8705,09-09,开放申购,开放赎回,,1.0,0,0,,1.50%
025852,富国港股精选混合(QDII)人民币,QDII-混合偏股,0.9074,09-10,开放申购,开放赎回,,1.0,0,0,,1.50%
025853,富国港股精选混合(QDII)美元现汇,QDII-混合偏股,0.1339,09-10,开放申购,开放赎回,,0,0,0,,1.50%
026015,宏利印度股票(QDII)C,QDII-普通股票,1.3464,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
026206,宝盈恒生科技指数(QDII)A,指数型-海外股票,0.7891,09-10,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.12%
026207,宝盈恒生科技指数(QDII)C,指数型-海外股票,0.7878,09-10,限大额,开放赎回,,10.0,1000000.0,0.0,1,0.00%
026228,富国全球科技互联网股票(QDII)D,QDII-普通股票,5.1930,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
026246,汇丰晋信港股精选股票(QDII)人民币A,QDII-普通股票,0.9536,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.08%
026247,汇丰晋信港股精选股票(QDII)人民币C,QDII-普通股票,0.9523,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
026248,汇丰晋信港股精选股票(QDII)美元现汇A,QDII-普通股票,0.1407,09-09,开放申购,开放赎回,,10.0,0,0,,0.80%
026259,银华医疗创新混合(QDII)A,QDII-混合偏股,1.0626,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.08%
026260,银华医疗创新混合(QDII)C,QDII-混合偏股,1.0610,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
026291,中欧港股消费混合发起(QDII)A,QDII-混合偏股,0.8912,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.08%
026292,中欧港股消费混合发起(QDII)C,QDII-混合偏股,0.8892,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
026357,平安港股医疗优选股票(QDII)A,QDII-普通股票,0.9533,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
026358,平安港股医疗优选股票(QDII)C,QDII-普通股票,0.9499,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
026442,国泰海通港股优势精选股票发起(QDII)A,QDII-普通股票,0.9196,09-10,开放申购,开放赎回,,1.0,0,0,,0.80%
026443,国泰海通港股优势精选股票发起(QDII)C,QDII-普通股票,0.9179,09-10,开放申购,开放赎回,,1.0,0,0,,0.00%
026492,广发港股优选混合(QDII),QDII-混合偏股,0.9872,09-09,开放申购,开放赎回,,1.0,0,0,,0.80%
