基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
012869,易方达标普信息科技指数(QDII-LOF)C(美元现汇),指数型-海外股票,0.9836,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),指数型-海外股票,4.3554,09-09,暂停申购,开放赎回,,10.0,10.0,0.0,4,0.00%
012871,易方达纳斯达克100ETF联接(QDII-LOF)C(美元现汇),指数型-海外股票,0.6427,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
012920,易方达全球成长精选混合(QDII)人民币A,QDII-混合偏股,3.7818,09-09,暂停申购,开放赎回,,10.0,10.0,1.0,4,0.15%
012921,易方达全球成长精选混合(QDII)美元现汇A,QDII-混合偏股,0.5580,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
012922,易方达全球成长精选混合(QDII)人民币C,QDII-混合偏股,3.7046,09-09,暂停申购,开放赎回,,10.0,10.0,0.0,4,0.00%
012923,易方达全球成长精选混合(QDII)美元现汇C,QDII-混合偏股,0.5467,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
012924,华夏新时代混合美元现汇(QDII),QDII-混合灵活,0.3120,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
012925,华夏新时代混合美元现钞(QDII),QDII-混合灵活,0.3120,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
012979,大成恒生科技ETF发起式联接A,指数型-海外股票,0.6881,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
012980,大成恒生科技ETF发起式联接C,指数型-海外股票,0.6767,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
013127,汇添富恒生科技ETF联接发起式(QDII)A,指数型-海外股票,0.6848,09-10,限大额,开放赎回,,10.0,200000.0,1.0,1,0.10%
013128,汇添富恒生科技ETF联接发起式(QDII)C,指数型-海外股票,0.6777,09-10,限大额,开放赎回,,10.0,200000.0,0.0,1,0.00%
013171,华夏恒生互联网科技业ETF联接(QDII)A,指数型-海外股票,0.5593,09-10,限大额,开放赎回,,10.0,20000000,1.0,1,0.12%
013172,华夏恒生互联网科技业ETF联接(QDII)C,指数型-海外股票,0.5508,09-10,限大额,开放赎回,,10.0,20000000,0.0,1,0.00%
013308,易方达恒生科技ETF联接(QDII)A,指数型-海外股票,1.0338,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.06%
013309,易方达恒生科技ETF联接(QDII)C,指数型-海外股票,1.0184,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
013328,嘉实全球价值股票(QDII)人民币,QDII-普通股票,1.6267,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
013329,嘉实全球价值股票(QDII)美元现汇,QDII-普通股票,1.5357,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
013363,大成中国优势混合(QDII)A,QDII-混合偏股,1.1651,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
013364,大成中国优势混合(QDII)C,QDII-混合偏股,1.1537,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
013402,华夏恒生科技ETF发起式联接(QDII)A,指数型-海外股票,0.7190,09-10,限大额,开放赎回,,10.0,20000000,1.0,1,0.12%
013403,华夏恒生科技ETF发起式联接(QDII)C,指数型-海外股票,0.7085,09-10,限大额,开放赎回,,10.0,20000000,0.0,1,0.00%
013404,大成标普500等权重指数(QDII)A美元,指数型-海外股票,0.4117,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
013425,博时标普500ETF联接美元汇(QDII)A,指数型-海外股票,0.8210,09-09,暂停申购,开放赎回,,1.0,0,0,,1.20%
013499,博时标普500ETF联接美元汇(QDII)C,指数型-海外股票,0.7948,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
013508,广发亚太中高收益债(QDII)C,QDII-纯债,1.1875,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
013509,广发亚太中高收益债美元现汇(QDII)C,QDII-纯债,0.1752,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
013945,交银中证海外中国互联网指数(LOF)C,指数型-海外股票,0.8963,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
014002,浦银全球智能科技(QDII)C,QDII-普通股票,3.5403,09-09,暂停申购,开放赎回,,10.0,3000.0,0.0,4,0.00%
014127,融通核心价值混合(QDII)C,QDII-混合灵活,1.0668,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
014424,博时恒生医疗保健ETF发起式联接(QDII)A,指数型-海外股票,0.8849,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
014425,博时恒生医疗保健ETF发起式联接(QDII)C,指数型-海外股票,0.8776,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
014438,博时恒生科技ETF发起式联接(QDII)A,指数型-海外股票,0.7937,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
014439,博时恒生科技ETF发起式联接(QDII)C,指数型-海外股票,0.7813,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
014978,华安纳斯达克100ETF联接(QDII)C,指数型-海外股票,7.9972,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
014982,华安标普全球石油指数(LOF)C,指数型-海外股票,2.2322,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
015016,华安德国(DAX)联接(QDII)C,指数型-海外股票,1.9799,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
015202,汇添富全球移动互联混合(QDII)人民币C,QDII-混合灵活,5.1414,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
015203,汇添富全球移动互联混合(QDII)人民币D,QDII-混合灵活,5.1896,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
015204,银华全球新能源车量化优选股票(QDII)A,QDII-普通股票,1.4790,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
015205,银华全球新能源车量化优选股票(QDII)C,QDII-普通股票,1.4522,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
015282,华安恒生科技ETF发起式联接(QDII)A,指数型-海外股票,1.0480,09-10,限大额,开放赎回,,10.0,10000000,1.0,1,0.05%
015283,华安恒生科技ETF发起式联接(QDII)C,指数型-海外股票,1.0371,09-10,限大额,开放赎回,,10.0,10000000,0.0,1,0.00%
015299,华夏纳斯达克100ETF发起式联接(QDII)A,指数型-海外股票,2.0191,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.12%
015300,华夏纳斯达克100ETF发起式联接(QDII)C,指数型-海外股票,1.9926,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
015310,华泰柏瑞恒生科技ETF联接(QDII)A,指数型-海外股票,0.9863,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
015311,华泰柏瑞恒生科技ETF联接(QDII)C,指数型-海外股票,0.9649,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
015518,华夏纳斯达克100ETF发起式联接(QDII)A美元现汇,指数型-海外股票,0.3010,09-09,暂停申购,开放赎回,,1.0,0,0,,1.20%
015545,大成标普500等权重指数(QDII)C美元,指数型-海外股票,0.4094,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
015546,大成恒生指数(QDII-LOF)C,指数型-海外股票,0.9687,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
015884,中欧港股数字经济混合发起(QDII)A,QDII-混合偏股,1.4734,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.18%
015885,中欧港股数字经济混合发起(QDII)C,QDII-混合偏股,1.4239,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,指数型-海外股票,2.1134,09-09,暂停申购,开放赎回,,10.0,100000000000,1.0,4,0.10%
016056,博时纳斯达克100ETF发起式联接(QDII)A美元现汇,指数型-海外股票,0.3119,09-09,暂停申购,开放赎回,,100.0,0,0,,1.00%
016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,指数型-海外股票,2.0856,09-09,暂停申购,开放赎回,,10.0,100000000000,0.0,4,0.00%
016058,博时纳斯达克100ETF发起式联接(QDII)C美元现汇,指数型-海外股票,0.3078,09-09,暂停申购,开放赎回,,100.0,0,0,,0.00%
016199,汇添富全球汽车产业升级混合(QDII)人民币A,QDII-混合偏股,1.2032,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.16%
016200,汇添富全球汽车产业升级混合(QDII)美元现汇,QDII-混合偏股,1.2211,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.16%
016201,汇添富全球汽车产业升级混合(QDII)美元现钞,QDII-混合偏股,1.2240,09-09,暂停申购,暂停赎回,,200.0,0.01,1.0,,0.16%
016202,汇添富全球汽车产业升级混合(QDII)人民币C,QDII-混合偏股,1.1752,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
016278,广发美国房地产指数人民币(QDII)C,指数型-海外股票,1.2240,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
016279,广发美国房地产指数美元现汇(QDII)C,指数型-海外股票,0.1806,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
016280,广发全球医疗保健指数人民币(QDII)C,指数型-海外股票,2.5000,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
016281,广发全球医疗保健美元现汇(QDII)C,指数型-海外股票,0.3689,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
016452,南方纳斯达克100指数发起(QDII)A,指数型-海外股票,2.2838,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
016453,南方纳斯达克100指数发起(QDII)C,指数型-海外股票,2.2735,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
016470,广发生物科技指数人民币(QDII)C,指数型-海外股票,1.6700,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
016471,广发生物科技指数美元(QDII)C,指数型-海外股票,0.2464,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,指数型-海外股票,2.1685,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.10%
016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,指数型-海外股票,2.1438,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
016534,嘉实纳斯达克100ETF发起联接(QDII)A美元现汇,指数型-海外股票,0.3200,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.10%
016535,嘉实纳斯达克100ETF发起联接(QDII)C美元现汇,指数型-海外股票,0.3163,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
